变量名,name,name_tw,name_en,name_vn,name_kr,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage
90403,Mega Steelix,超級大鋼蛇,Mega Steelix,404404,메가강철톤,bossmonster,3,17,9,,<99>,,,,403,,config/portrait/speedranktouxiang/img_208_cjdgs@.png,config/portrait/jinglingtouxiang/img_208_cjdgs@.png,config/portrait/jinglingtouxiang1/img_208_cjdgs@.png,config/portrait/simple/img_208_cjdgs@.png,config/big_hero/normal/img_208_cjdgs@.png,,,,,config/big_hero/standby/img_208_cjdgs@.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90451,Cubone,卡拉卡拉,Cubone,404404,탕구리,bossmonster,1,9,,,<99>,,,,451,,config/portrait/speedranktouxiang/img_104_klkl@.png,config/portrait/jinglingtouxiang/img_104_klkl@.png,config/portrait/jinglingtouxiang1/img_104_klkl@.png,config/portrait/simple/img_104_klkl@.png,config/big_hero/normal/img_104_klkl@.png,0.8,{x=-10;y=30},koudai_kalakala/hero_kalakala.skel,,config/big_hero/standby/img_104_klkl@.png,,{x=140;y=-20},,<4511;4512;4513>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2.9,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90452,Marowak,嘎啦嘎啦,Marowak,404404,텅구리,bossmonster,1,9,,,<99>,,,,452,,config/portrait/speedranktouxiang/img_105_glgl@.png,config/portrait/jinglingtouxiang/img_105_glgl@.png,config/portrait/jinglingtouxiang1/img_105_glgl@.png,config/portrait/simple/img_105_glgl@.png,config/big_hero/normal/img_105_glgl@.png,,{x=30;y=50},koudai_galagala/hero_galagala.skel,,config/big_hero/standby/img_105_glgl@.png,,,,<4521;4522;4523>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90461,Tyrogue,無畏小子,Tyrogue,404404,배루키,bossmonster,2,7,,,<99>,,,,461,,config/portrait/speedranktouxiang/img_236_wwxz@.png,config/portrait/jinglingtouxiang/img_236_wwxz@.png,config/portrait/jinglingtouxiang1/img_236_wwxz@.png,config/portrait/simple/img_236_wwxz@.png,config/big_hero/normal/img_236_wwxz@.png,1.2,{x=10;y=0},koudai_wuweixiaozi/hero_wuweixiaozi.skel,,config/big_hero/standby/img_236_wwxz@.png,,{x=140;y=-20},,<4611;4612;4613>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,2.1,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90462,Hitmonlee,飛腿郎,Hitmonlee,404404,시라소몬,bossmonster,2,7,,,<99>,,,,462,,config/portrait/speedranktouxiang/img_106_ftl@.png,config/portrait/jinglingtouxiang/img_106_ftl@.png,config/portrait/jinglingtouxiang1/img_106_ftl@.png,config/portrait/simple/img_106_ftl@.png,config/big_hero/normal/img_106_ftl@.png,1.3,{x=-110;y=0},koudai_feituilang/hero_feituilang.skel,,config/big_hero/standby/img_106_ftl@.png,,{x=140;y=-20},,<4621;4622;4623>,,,{'hitPos'={'x'=0;'y'=150};'lifePos'={'x'=0;'y'=320};'headPos'={'x'=0;'y'=280};'namePos'={'x'=0;'y'=320}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90463,Hitmonchan,快拳郎,Hitmonchan,404404,홍수몬,bossmonster,2,7,,,<99>,,,,463,,config/portrait/speedranktouxiang/img_107_kql@.png,config/portrait/jinglingtouxiang/img_107_kql@.png,config/portrait/jinglingtouxiang1/img_107_kql@.png,config/portrait/simple/img_107_kql@.png,config/big_hero/normal/img_107_kql@.png,1.4,{x=60;y=-60},koudai_kuaiquanlang/hero_kuaiquanlang.skel,,config/big_hero/standby/img_107_kql@.png,,{x=140;y=-20},,<4631;4632;4633>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90464,Hitmontop,戰舞郎,Hitmontop,404404,카포에라,bossmonster,2,7,,,<99>,,,,464,,config/portrait/speedranktouxiang/img_237_zwl@.png,config/portrait/jinglingtouxiang/img_237_zwl@.png,config/portrait/jinglingtouxiang1/img_237_zwl@.png,config/portrait/simple/img_237_zwl@.png,config/big_hero/normal/img_237_zwl@.png,,{x=20;y=35},koudai_zhanwulang/hero_zhanwulang.skel,,config/big_hero/standby/img_237_zwl@.png,,{x=140;y=-20},,<4641;4642;4643>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90471,Lickitung,大舌頭,Lickitung,404404,내루미,bossmonster,2,1,,,<99>,,,,471,,config/portrait/speedranktouxiang/img_108_dst@.png,config/portrait/jinglingtouxiang/img_108_dst@.png,config/portrait/jinglingtouxiang1/img_108_dst@.png,config/portrait/simple/img_108_dst@.png,config/big_hero/normal/img_108_dst@.png,0.75,{x=0;y=15},koudai_dashetou/hero_dashetou.skel,,config/big_hero/standby/img_108_dst@.png,,,,<4711;4712;4713>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,1.6,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90472,Lickilicky,大舌舔,Lickilicky,404404,내룸벨트,bossmonster,2,1,,,<99>,,,,472,,config/portrait/speedranktouxiang/img_463_dst@.png,config/portrait/jinglingtouxiang/img_463_dst@.png,config/portrait/jinglingtouxiang1/img_463_dst@.png,config/portrait/simple/img_463_dst@.png,config/big_hero/normal/img_463_dst@.png,,{x=0;y=5},koudai_dashetian/hero_dashetian.skel,,config/big_hero/standby/img_463_dst@.png,,,,<4721;4722;4723>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,1.8,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90481,Koffing,瓦斯彈,Koffing,404404,또가스,bossmonster,2,8,,,<99>,,,,481,,config/portrait/speedranktouxiang/img_109_wsd@.png,config/portrait/jinglingtouxiang/img_109_wsd@.png,config/portrait/jinglingtouxiang1/img_109_wsd@.png,config/portrait/simple/img_109_wsd@.png,config/big_hero/normal/img_109_wsd@.png,1.1,{x=55;y=0},koudai_wasidan/hero_wasidan.skel,,config/big_hero/standby/img_109_wsd@.png,,,,<4811;4812;4813>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.7,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90482,Weezing,雙彈瓦斯,Weezing,404404,또도가스,bossmonster,2,8,,,<99>,,,,482,,config/portrait/speedranktouxiang/img_110_sdws@.png,config/portrait/jinglingtouxiang/img_110_sdws@.png,config/portrait/jinglingtouxiang1/img_110_sdws@.png,config/portrait/simple/img_110_sdws@.png,config/big_hero/normal/img_110_sdws@.png,1.1,{x=15;y=20},koudai_shuangdanwasi/hero_shuangdanwasi.skel,,config/big_hero/standby/img_110_sdws@.png,,,,<4821;4822;4823>,,,{'hitPos'={'x'=0;'y'=145};'lifePos'={'x'=0;'y'=310};'headPos'={'x'=0;'y'=270};'namePos'={'x'=0;'y'=310}},,,,2.5,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90491,Rhyhorn,獨角犀牛,Rhyhorn,404404,뿔카노,bossmonster,3,9,13,,<99>,,,,491,,config/portrait/speedranktouxiang/img_111_djxn@.png,config/portrait/jinglingtouxiang/img_111_djxn@.png,config/portrait/jinglingtouxiang1/img_111_djxn@.png,config/portrait/simple/img_111_djxn@.png,config/big_hero/normal/img_111_djxn@.png,0.85,{x=0;y=25},koudai_dujiaoxiniu/hero_dujiaoxiniu.skel,,config/big_hero/standby/img_111_djxn@.png,,,,<4911;4912;4913>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90492,Rhydon,鑽角犀獸,Rhydon,404404,코뿌리,bossmonster,3,9,13,,<99>,,,,492,,config/portrait/speedranktouxiang/img_112_zjxs@.png,config/portrait/jinglingtouxiang/img_112_zjxs@.png,config/portrait/jinglingtouxiang1/img_112_zjxs@.png,config/portrait/simple/img_112_zjxs@.png,config/big_hero/normal/img_112_zjxs@.png,0.9,{x=-10;y=10},koudai_zuanjiaoxishou/hero_zuanjiaoxishou.skel,,config/big_hero/standby/img_112_zjxs@.png,,,,<4921;4922;4923>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90493,Rhyperior,超甲狂犀,Rhyperior,404404,거대코뿌리,bossmonster,3,9,13,,<99>,,,,493,,config/portrait/speedranktouxiang/img_464_cjkx@.png,config/portrait/jinglingtouxiang/img_464_cjkx@.png,config/portrait/jinglingtouxiang1/img_464_cjkx@.png,config/portrait/simple/img_464_cjkx@.png,config/big_hero/normal/img_464_cjkx@.png,1.2,{x=20;y=50},koudai_chaojiakuangxi/hero_chaojiakuangxi.skel,,config/big_hero/standby/img_464_cjkx@.png,,,,<4931;4932;4933>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90541,Goldeen,角金魚,Goldeen,404404,콘치,bossmonster,1,3,,,<99>,,,,541,,config/portrait/speedranktouxiang/img_118_jjy@.png,config/portrait/jinglingtouxiang/img_118_jjy@.png,config/portrait/jinglingtouxiang1/img_118_jjy@.png,config/portrait/simple/img_118_jjy@.png,config/big_hero/normal/img_118_jjy@.png,,,koudai_jiaojinyu/hero_jiaojinyu.skel,,config/big_hero/standby/img_118_jjy@.png,,,,<5411;5412;5413>,,,{'hitPos'={'x'=0;'y'=100};'lifePos'={'x'=0;'y'=220};'headPos'={'x'=0;'y'=180};'namePos'={'x'=0;'y'=220}},,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90542,Seaking,金魚王,Seaking,404404,왕콘치,bossmonster,1,3,,,<99>,,,,542,,config/portrait/speedranktouxiang/img_119_jyw@.png,config/portrait/jinglingtouxiang/img_119_jyw@.png,config/portrait/jinglingtouxiang1/img_119_jyw@.png,config/portrait/simple/img_119_jyw@.png,config/big_hero/normal/img_119_jyw@.png,0.9,{x=5;y=15},koudai_jinyuwang/hero_jinyuwang.skel,,config/big_hero/standby/img_119_jyw@.png,,,,<5421;5422;5423>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.5,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90551,Staryu,海星星,Staryu,404404,별가사리,bossmonster,2,3,,,<99>,,,,551,,config/portrait/speedranktouxiang/img_120_hxx@.png,config/portrait/jinglingtouxiang/img_120_hxx@.png,config/portrait/jinglingtouxiang1/img_120_hxx@.png,config/portrait/simple/img_120_hxx@.png,config/big_hero/normal/img_120_hxx@.png,0.75,{x=0;y=25},koudai_haixingxing/hero_haixingxing.skel,,config/big_hero/standby/img_120_hxx@.png,,,,<5511;5512;5513>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90552,Starmie,寶石海星,Starmie,404404,아쿠스타,bossmonster,2,3,11,,<99>,,,,552,,config/portrait/speedranktouxiang/img_121_bshx@.png,config/portrait/jinglingtouxiang/img_121_bshx@.png,config/portrait/jinglingtouxiang1/img_121_bshx@.png,config/portrait/simple/img_121_bshx@.png,config/big_hero/normal/img_121_bshx@.png,1.4,{x=-50;y=130},koudai_baoshihaixing/hero_baoshihaixing.skel,,config/big_hero/standby/img_121_bshx@.png,,,,<5521;5522;5523>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.4,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90571,Scyther,飛天螳螂,Scyther,404404,스라크,bossmonster,3,12,10,,<99>,,,,571,,config/portrait/speedranktouxiang/img_123_fttl@.png,config/portrait/jinglingtouxiang/img_123_fttl@.png,config/portrait/jinglingtouxiang1/img_123_fttl@.png,config/portrait/simple/img_123_fttl@.png,config/big_hero/normal/img_123_fttl@.png,1.3,{x=-5;y=40},koudai_feitiantanglang/hero_feitiantanglang.skel,,config/big_hero/standby/img_123_fttl@.png,,,,<5711;5712;5713>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=380};'headPos'={'x'=0;'y'=340};'namePos'={'x'=0;'y'=380}},,,,2.6,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90572,Scizor,巨鉗螳螂,Scizor,404404,핫삼,bossmonster,3,12,17,,<99>,,,,572,,config/portrait/speedranktouxiang/img_212_jqtl@.png,config/portrait/jinglingtouxiang/img_212_jqtl@.png,config/portrait/jinglingtouxiang1/img_212_jqtl@.png,config/portrait/simple/img_212_jqtl@.png,config/big_hero/normal/img_212_jqtl@.png,1.6,{x=30;y=-20},koudai_juqiantanglang/hero_juqiantanglang.skel,,config/big_hero/standby/img_212_jqtl@.png,,,,<5721;5722;5723>,,,,,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90591,Elekid,電擊怪,Elekid,404404,에레키드,bossmonster,3,5,,,<99>,,,,591,,config/portrait/speedranktouxiang/img_239_djg@.png,config/portrait/jinglingtouxiang/img_239_djg@.png,config/portrait/jinglingtouxiang1/img_239_djg@.png,config/portrait/simple/img_239_djg@.png,config/big_hero/normal/img_239_djg@.png,0.95,{x=30;y=0},koudai_dianjiguai/hero_dianjiguai.skel,,config/big_hero/standby/img_239_djg@.png,,,,<5911;5912;5913>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90592,Electabuzz,電擊獸,Electabuzz,404404,에레브,bossmonster,3,5,,,<99>,,,,592,,config/portrait/speedranktouxiang/img_125_djs@.png,config/portrait/jinglingtouxiang/img_125_djs@.png,config/portrait/jinglingtouxiang1/img_125_djs@.png,config/portrait/simple/img_125_djs@.png,config/big_hero/normal/img_125_djs@.png,1.1,{x=30;y=0},koudai_dianjishou/hero_dianjishou.skel,,config/big_hero/standby/img_125_djs@.png,,,,<5921;5922;5923>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90593,Electivire,電擊魔獸,Electivire,404404,에레키블,bossmonster,3,5,,,<99>,,,,593,,config/portrait/speedranktouxiang/img_466_djms@.png,config/portrait/jinglingtouxiang/img_466_djms@.png,config/portrait/jinglingtouxiang1/img_466_djms@.png,config/portrait/simple/img_466_djms@.png,config/big_hero/normal/img_466_djms@.png,2,{x=0;y=180},koudai_dianjimoshou/hero_dianjimoshou.skel,,config/big_hero/standby/img_466_djms@.png,,{x=140;y=-20},,<5931;5932;5933>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90601,Magby,鴨嘴寶寶,Magby,404404,마그비,bossmonster,3,2,,,<99>,,,,601,,config/portrait/speedranktouxiang/img_240_yzbb@.png,config/portrait/jinglingtouxiang/img_240_yzbb@.png,config/portrait/jinglingtouxiang1/img_240_yzbb@.png,config/portrait/simple/img_240_yzbb@.png,config/big_hero/normal/img_240_yzbb@.png,0.9,{x=0;y=10},koudai_yazuibaobao/hero_yazuibaobao.skel,,config/big_hero/standby/img_240_yzbb@.png,,,,<6011;6012;6013>,,,{'hitPos'={'x'=0;'y'=125};'lifePos'={'x'=0;'y'=270};'headPos'={'x'=0;'y'=230};'namePos'={'x'=0;'y'=270}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90602,Magmar,鴨嘴火獸,Magmar,404404,마그마,bossmonster,3,2,,,<99>,,,,602,,config/portrait/speedranktouxiang/img_126_yzhs@.png,config/portrait/jinglingtouxiang/img_126_yzhs@.png,config/portrait/jinglingtouxiang1/img_126_yzhs@.png,config/portrait/simple/img_126_yzhs@.png,config/big_hero/normal/img_126_yzhs@.png,1.4,{x=-10;y=10},koudai_yazuihuoshou/hero_yazuihuoshou.skel,,config/big_hero/standby/img_126_yzhs@.png,,,,<6021;6022;6023>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90603,Magmortar,鴨嘴炎獸,Magmortar,404404,마그마번,bossmonster,3,2,,,<99>,,,,603,,config/portrait/speedranktouxiang/img_467_yzys@.png,config/portrait/jinglingtouxiang/img_467_yzys@.png,config/portrait/jinglingtouxiang1/img_467_yzys@.png,config/portrait/simple/img_467_yzys@.png,config/big_hero/normal/img_467_yzys@.png,2,{x=-50;y=160},koudai_yazuiyanshou/hero_yazuiyanshou.skel,,config/big_hero/standby/img_467_yzys@.png,,,,<6031;6032;6033>,,,,,,,2.7,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,鯉魚王,,404404,,bossmonster,3,3,,,<99>,,,,631,,config/portrait/speedranktouxiang/img_129_lyw@.png,config/portrait/jinglingtouxiang/img_129_lyw@.png,config/portrait/jinglingtouxiang1/img_129_lyw@.png,config/portrait/simple/img_129_lyw@.png,config/big_hero/normal/img_129_lyw@.png,0.9,{x=0;y=10},koudai_pikaqiu/pikaqiu.skel,,config/big_hero/standby/img_129_lyw@.png,,{x=140;y=-20},,<>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,1.6,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90632,Gyarados,暴鯉龍,Gyarados,404404,갸라도스,bossmonster,3,3,10,,<99>,,,,631,,config/portrait/speedranktouxiang/img_130_bll@.png,config/portrait/jinglingtouxiang/img_130_bll@.png,config/portrait/jinglingtouxiang1/img_130_bll@.png,config/portrait/simple/img_130_bll@.png,config/big_hero/normal/img_130_bll@.png,1.3,{x=-20;y=100},koudai_baolilong/hero_baolilong.skel,,config/big_hero/standby/img_130_bll@.png,,{x=140;y=-20},,<6321;6322;6323>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=380};'headPos'={'x'=0;'y'=340};'namePos'={'x'=0;'y'=380}},,,,2.7,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90691,Kabuto,化石盔,Kabuto,404404,투구,bossmonster,2,13,3,,<99>,,,,691,,config/portrait/speedranktouxiang/img_140_hsk@.png,config/portrait/jinglingtouxiang/img_140_hsk@.png,config/portrait/jinglingtouxiang1/img_140_hsk@.png,config/portrait/simple/img_140_hsk@.png,config/big_hero/normal/img_140_hsk@.png,0.85,{x=0;y=20},koudai_huashikui/hero_huashikui.skel,,config/big_hero/standby/img_140_hsk@.png,,,,<6911;6912;6913>,,,{'hitPos'={'x'=0;'y'=95};'lifePos'={'x'=0;'y'=210};'headPos'={'x'=0;'y'=170};'namePos'={'x'=0;'y'=210}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90692,Kabutops,鐮刀盔,Kabutops,404404,투구푸스,bossmonster,2,13,3,,<99>,,,,692,,config/portrait/speedranktouxiang/img_141_ldk@.png,config/portrait/jinglingtouxiang/img_141_ldk@.png,config/portrait/jinglingtouxiang1/img_141_ldk@.png,config/portrait/simple/img_141_ldk@.png,config/big_hero/normal/img_141_ldk@.png,1.2,{x=-25;y=30},koudai_liandaokui/hero_liandaokui.skel,,config/big_hero/standby/img_141_ldk@.png,,,,<6921;6922;6923>,,,{'hitPos'={'x'=0;'y'=145};'lifePos'={'x'=0;'y'=310};'headPos'={'x'=0;'y'=270};'namePos'={'x'=0;'y'=310}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90711,Munchlax,小卡比獸,Munchlax,404404,먹고자,bossmonster,3,1,,,<99>,,,,711,,config/portrait/speedranktouxiang/img_446_xkbs@.png,config/portrait/jinglingtouxiang/img_446_xkbs@.png,config/portrait/jinglingtouxiang1/img_446_xkbs@.png,config/portrait/simple/img_446_xkbs@.png,config/big_hero/normal/img_446_xkbs@.png,,,koudai_xiaokabishou/hero_xiaokabishou.skel,,config/big_hero/standby/img_446_xkbs@.png,,,,<7111;7112;7113>,,,{'hitPos'={'x'=0;'y'=125};'lifePos'={'x'=0;'y'=270};'headPos'={'x'=0;'y'=230};'namePos'={'x'=0;'y'=270}},,,,2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90712,Snorlax,卡比獸,Snorlax,404404,잠만보,bossmonster,3,1,,,<99>,,,,712,,config/portrait/speedranktouxiang/img_143_kbs@.png,config/portrait/jinglingtouxiang/img_143_kbs@.png,config/portrait/jinglingtouxiang1/img_143_kbs@.png,config/portrait/simple/img_143_kbs@.png,config/big_hero/normal/img_143_kbs@.png,,,koudai_kabishou/hero_kabishou.skel,,config/big_hero/standby/img_143_kbs@.png,,,,<7121;7122;7123>,,,{'hitPos'={'x'=0;'y'=175};'lifePos'={'x'=0;'y'=370};'headPos'={'x'=0;'y'=330};'namePos'={'x'=0;'y'=370}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90721,Articuno,急凍鳥,Articuno,404404,프리져,bossmonster,3,6,10,,<99>,,,,721,,config/portrait/speedranktouxiang/img_144_jdn@.png,config/portrait/jinglingtouxiang/img_144_jdn@.png,config/portrait/jinglingtouxiang1/img_144_jdn@.png,config/portrait/simple/img_144_jdn@.png,config/big_hero/normal/img_144_jdn@.png,1.8,{x=10;y=-100},koudai_jidongniao/hero_jidongniao.skel,,config/big_hero/standby/img_144_jdn@.png,,{x=140;y=-20},,<7211;7212;7213>,,,{'hitPos'={'x'=0;'y'=165};'lifePos'={'x'=0;'y'=350};'headPos'={'x'=0;'y'=310};'namePos'={'x'=0;'y'=350}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90731,Zapdos,閃電鳥,Zapdos,404404,썬더,bossmonster,3,5,10,,<99>,,,,731,,config/portrait/speedranktouxiang/img_145_sdn@.png,config/portrait/jinglingtouxiang/img_145_sdn@.png,config/portrait/jinglingtouxiang1/img_145_sdn@.png,config/portrait/simple/img_145_sdn@.png,config/big_hero/normal/img_145_sdn@.png,1.8,{x=-30;y=35},koudai_shandianniao/hero_shandianniao.skel,,config/big_hero/standby/img_145_sdn@.png,,{x=140;y=-20},,<7311;7312;7313>,,,{'hitPos'={'x'=0;'y'=170};'lifePos'={'x'=0;'y'=360};'headPos'={'x'=0;'y'=320};'namePos'={'x'=0;'y'=360}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
